******** File Generated by MU.ToolKit [Silver Edition] coded by TopReal.IT ********
	Type	X	Y	Rotation Angle	Name
	2	121	232	135	Entrance to Dungeon
	2	1	38	225	Entrance to Devias
	2	216	248	135	Entrance to Noria
	2	242	15	90	Entrance to Valley of Loren
	1	96	129	0	Shadow Phantom Soldier
	1	130	165	0	Shadow Phantom Soldier
	1	130	90	0	Shadow Phantom Soldier
	1	170	129	0	Shadow Phantom Soldier
	1	1	38	225	Entrance to Devias
	1	121	232	135	Entrance to Dungeon
	1	1	38	225	Entrance to Devias
	1	216	248	135	Entrance to Noria
	1	242	15	90	Entrance to Valley of Loren
	0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
		0	0	0	0	0
