//index text 
1 "Your soul has been claimed by me!"
2 "Your soul has been claimed by me!"
3 "Your soul has been claimed by me!"
4 "Your soul has been claimed by me!"
5 "Your soul has been claimed by me!"
6 "Your soul has been claimed by me!"
7 "Your soul has been claimed by me!"
8 "Your soul has been claimed by me!"
9 "Your soul has been claimed by me!"
10 "Your soul has been claimed by me!"
11 "Your soul has been claimed by me!"
12 "Your soul has been claimed by me!"
13 "Your soul has been claimed by me!"
14 "Your soul has been claimed by me!"
15 "Your soul has been claimed by me!"
16 "Your soul has been claimed by me!"
17 "Your soul has been claimed by me!"
18 "Your soul has been claimed by me!"
20 "Your soul has been claimed by me!"
21 "Your soul has been claimed by me!"
22 "Your soul has been claimed by me!"
23 "Your soul has been claimed by me!"
24 "Your soul has been claimed by me!"
25 "Your soul has been claimed by me!"
26 "Your soul has been claimed by me!"
27 "Your soul has been claimed by me!"
28 "Your soul has been claimed by me!"
29 "Your soul has been claimed by me!"
30 "Your soul has been claimed by me!"
31 "Your soul has been claimed by me!"
32 "Your soul has been claimed by me!"
33 "Your soul has been claimed by me!"
34 "You have met your demise by my hand"
35 "You have met your demise by my hand"
36 "You have met your demise by my hand"
37 "You have met your demise by my hand"
38 "You have met your demise by my hand"
39 "You have met your demise by my hand"
40 "You have met your demise by my hand"
41 "You have met your demise by my hand"
42 "You have met your demise by my hand"
43 "I'm Golden Moster You Are Dead"
44 "You have met your demise by my hand"
45 "You have met your demise by my hand"
46 "You have met your demise by my hand"
47 "You have met your demise by my hand"
48 "You have met your demise by my hand"
49 "You have met your demise by my hand"
50 "You have met your demise by my hand"
51 "You have met your demise by my hand"
52 "You have met your demise by my hand"
53 "I'm Golden Moster You Are Dead"
54 "I'm Golden Moster You Are Dead"
55 "You have met your demise by my hand"
56 "You have met your demise by my hand"
57 "You have met your demise by my hand"
58 "You have met your demise by my hand"
59 "You have met your demise by my hand"
60 "You have met your demise by my hand"
61 "You have met your demise by my hand"
62 "You have met your demise by my hand"
63 "Next time we do not approach"
64 "Next time we do not approach"
65 "Next time we do not approach"
66 "Next time we do not approach"
67 "Next time we do not approach"
68 "Next time we do not approach"
69 "Next time we do not approach"
70 "Next time we do not approach"
71 "Next time we do not approach"
72 "Next time we do not approach"
73 "Next time we do not approach"
74 "Next time we do not approach"
75 "Next time we do not approach"
76 "Next time we do not approach"
77 "Next time we do not approach"
78 "I'm Golden Moster You Are Dead"
79 "I'm Golden Moster You Are Dead"
80 "I'm Golden Moster You Are Dead"
81 "I'm Golden Moster You Are Dead"
82 "I'm Golden Moster You Are Dead"
83 "I'm Golden Moster You Are Dead"
84 "Now you will have a lesson"
85 "Now you will have a lesson"
86 "Now you will have a lesson"
87 "Now you will have a lesson"
88 "Now you will have a lesson"
89 "Now you will have a lesson"
90 "Now you will have a lesson"
91 "Now you will have a lesson"
92 "Now you will have a lesson"
93 "Now you will have a lesson"
94 "Now you will have a lesson"
95 "Now you will have a lesson"
96 "Now you will have a lesson"
97 "Now you will have a lesson"
98 "Now you will have a lesson"
99 "Now you will have a lesson"
100 "Now you will have a lesson"
101 "Now you will have a lesson"
102 "Now you will have a lesson"
103 "Now you will have a lesson"
104 "Now you will have a lesson"
105 "Now you will have a lesson"
106 "Now you will have a lesson"
107 "Now you will have a lesson"
108 "Now you will have a lesson"
109 "Now you will have a lesson"
110 "Now you will have a lesson"
111 "Now you will have a lesson"
112 "Now you will have a lesson"
113 "Now you will have a lesson"
114 "Now you will have a lesson"
115 "Now you will have a lesson"
116 "Now you will have a lesson"
117 "Now you will have a lesson"
118 "You need to improve more"
119 "You need to improve more"
120 "You need to improve more"
121 "You need to improve more"
122 "You need to improve more"
123 "You need to improve more"
124 "You need to improve more"
125 "You need to improve more"
126 "You need to improve more"
127 "You need to improve more"
128 "You need to improve more"
129 "You need to improve more"
130 "You need to improve more"
131 "You need to improve more"
132 "You need to improve more"
133 "You need to improve more"
134 "You need to improve more"
135 "You need to improve more"
136 "You need to improve more"
137 "You need to improve more"
138 "You need to improve more"
139 "You need to improve more"
140 "You need to improve more"
141 "You need to improve more"
142 "You need to improve more"
143 "You need to improve more"
144 "You need to improve more"
145 "You need to improve more"
