//Index	 ItemIndex   AddHP	AddMP	DamageRate   AttackSpeed   DoubleDmgRate	TripleDmgRate	AddExp	ResistDoubleDmg	ResistIgnoreDefense	ResistIgnoreSD	ResistCriticalDMG	ResistExceDMG	BlockStuck	ReflectRate	PetRecovery	Commnet
1	6856	           1000	  1000	   5	        80     	   0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//Pet38
2	6857	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//ghost
3	6858	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//petsteel
4	6859	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//adventurecat
5	6860	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//angrychickenup
6	6861	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//baelpet_evol
7	6862	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//bateriaup
8	6863	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//beagle
9	6864	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//bluefairyup
10	6865	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//bogeonpet_evol
11	6866	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//bulldog
12	6867	           1000	  1000	   5	        80         0		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//cyclopspet_evol
13	6868	           1000	  1000	   5	        80         2		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//figure
14	6869	           1000	  1000	   5	        80         2		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//knightinstructorup
15	6870	           1000	  1000	   5	        80         2		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//knightzombieup
16	6871	           1000	  1000	   5	        80         2		          0		        0	            0		        0			    0		            0			    0		        0		    0		    0		//lycanpet_evol
17	6872	           1000	  1000	   10	        50         2		          1		        0	            0		        0			    0		            0			    0		        0		    0		    0		//mermaidpet_evol
18	6873	           1000	  1000	   10	        50         2		          1		        0	            0		        0			    0		            0			    0		        0		    0		    0		//minopet_evol
19	6874	           1000	  1000	   10	        50         2		          1		        0	            0		        0			    0		            0			    0		        0		    0		    0		//mommothpet_evol
20	6875	           1500	  1000	   10	        50         2		          1		        0	            0		        0			    0		            0			    0		        0		    0		    0		//mummyboy
21	6876	           1500	  1000	   10	        50         2		          1		        0	            0		        0			    0		            0			    0		        0		    0		    0		//polarispet_evol
22	6877	           1500	  1000	   10	        50         2		          1		        0	            0		        0			    0		            0			    0		        0		    0		    0		//reynerpet_evol
23	6878	           1500	  1000	   10	        50         2		          1		        0	            0		        0			    0		            0			    0		        0		    0		    0		//rio
24	6879	           1500	  1000	   10	        50         2		          1		        0	            0		        0			    0		            0			    0		        0		    0		    0		//skullpet
25	6880	           1500	  1000	   10	        50         2		          1		        0	            0		        0			    0		            0			    0		        0		    0		    0		//alcamopet
26	6881	           1500	  1000	   10	        50	       1		          2		        0	            0		        0			    0		            0			    0		        0		    0		    0		//alcamopet_evol
27	6882	           5000	  2000	   15	        50    	   2		          1		        10	            0		        0			    0		            0			    0		        0		    0		    1		//ghost_horse
28	6883	           5000	  2000	   15	        50    	   2		          1		        15	            0		        0			    0		            0			    0		        0		    0		    1		//Ice Dragon
29	6884	           5000	  2000	   15	        50    	   2		          1		        15	            0		        0			    0		            0			    0		        0		    0		    1		//Red dragon
30	6885	           5000	  2000	   15	        50    	   2		          1		        15	            0		        0			    0		            0			    0		        0		    0		    1		//Hell horse
end
