//=======================================================
//  WCOINC       WCOINP      GOBLINPOINT
//=======================================================
0
     600            0             0
end

//===================================================================================
// numb  Type   Index  Level   Skill   Luck      Option   Excellent
//===================================================================================
1
0         14     11     0        0       0          8          0
1         14     11     0        0       0          8          0
2         14     16     0        0       0          0          0
3         14     22     0        0       0          0          0
4         14     11     0        0       0          8          0
5         14     11     0        0       0          9          0
6         14     11     0        0       0          10         0
7         14     11     0        0       0          11         0
8         14     13     0        0       0          0          0
9         14     14     0        0       0          0          0
10        13     226    0        0       0          0          0
11        12     141    0        0       0          0          0
end
