0
//Year   Month   Day   DoW   Hour   Minute   Second
    *      *      *    *     20       0        0
end

1
//Group   SpawnRate
1 50
2 50
end

2
//Index   Group   SpawnMinute
1 1 0  // MonsterGroup="1", SpawnTime="0"
2 1 10 // MonsterGroup="2", SpawnTime="10"
3 1 20 // MonsterGroup="3", SpawnTime="20"
1 2 0  // MonsterGroup="1", SpawnTime="0"
2 2 10 // MonsterGroup="2", SpawnTime="10"
3 2 20 // MonsterGroup="3", SpawnTime="20"
end

3
//Index   Group   Monster   Count   X      Y      TX      TY 
1 1 39  40 60 28 132 73
1 1 34  40 60 28 132 73
1 1 41  40 60 28 132 73
1 1 37  40 60 28 132 73
1 1 40  40 60 28 132 73
1 1 35  40 60 28 132 73
1 1 48  40 60 28 132 73
1 1 62  40 60 28 132 73
1 1 300 1  60 28 132 73
// Assault Type="1", MonsterGroup="2" (Index=2, Group=1)
2 1 69  40 60 58 132 101
2 1 60  40 60 58 132 101
2 1 71  40 60 58 132 101
2 1 57  40 60 58 132 101
2 1 70  40 60 58 132 101
2 1 58  40 60 58 132 101
2 1 61  40 60 58 132 101
2 1 73  40 60 58 132 101
2 1 74  40 60 58 132 101
2 1 72  40 60 58 132 101
2 1 301 1  60 58 132 101
// Assault Type="1", MonsterGroup="3" (Index=3, Group=1)
3 1 49  30 60 58 132 101
3 1 139 30 60 58 132 101
3 1 123 30 60 58 132 101
3 1 59  30 60 58 132 101
3 1 74  30 60 58 132 101
3 1 63  30 60 58 132 101
3 1 293 50 60 58 132 101
3 1 292 50 60 58 132 101
3 1 291 50 60 58 132 101
3 1 303 1  60 58 132 101
3 1 295 1  60 58 132 101
// Assault Type="2", MonsterGroup="1" (Index=1, Group=2)
1 2 39  30 60 28 132 73
1 2 34  30 60 28 132 73
1 2 41  30 60 28 132 73
1 2 37  30 60 28 132 73
1 2 40  30 60 28 132 73
1 2 35  30 60 28 132 73
1 2 48  30 60 28 132 73
1 2 62  30 60 28 132 73
1 2 300 1  60 28 132 73
// Assault Type="2", MonsterGroup="2" (Index=2, Group=2)
2 2 294 30 60 58 132 101
2 2 290 30 60 58 132 101
2 2 193 30 60 58 132 101
2 2 194 30 60 58 132 101
2 2 192 30 60 58 132 101
2 2 190 30 60 58 132 101
2 2 195 30 60 58 132 101
2 2 61  30 60 58 132 101
2 2 73  30 60 58 132 101
2 2 127 30 60 58 132 101
2 2 302 1  60 58 132 101
// Assault Type="2", MonsterGroup="3" (Index=3, Group=2)
3 2 49  30 60 58 132 101
3 2 139 30 60 58 132 101
3 2 123 30 60 58 132 101
3 2 59  30 60 58 132 101
3 2 74  30 60 58 132 101
3 2 63  30 60 58 132 101
3 2 293 50 60 58 132 101
3 2 292 50 60 58 132 101
3 2 291 50 60 58 132 101
3 2 303 1  60 58 132 101
3 2 295 1  60 58 132 101
end
