0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     0      5        0
0         *      *       *     *     11     5        0
0         *      *       *     *     15     5        0
0         *      *       *     *     19     5        0
1         *      *       *     *     1      15       0
1         *      *       *     *     12     15       0
1         *      *       *     *     16     15       0
1         *      *       *     *     20     15       0
2         *      *       *     *     0      25       0
2         *      *       *     *     4      25       0
2         *      *       *     *     8      25       0
2         *      *       *     *     12     25       0
2         *      *       *     *     16     25       0
2         *      *       *     *     20     25       0
3         *      *       *     *     0      50       0
3         *      *       *     *     4      50       0
3         *      *       *     *     8      50       0
3         *      *       *     *     12     50       0
3         *      *       *     *     16     50       0
3         *      *       *     *     20     50       0
4         *      *       *     *     2      5        0
4         *      *       *     *     6      5        0
4         *      *       *     *     10     5        0
4         *      *       *     *     14     5        0
4         *      *       *     *     18     5        0
4         *      *       *     *     22     5        0
5         *      *       *     *     2      15       0
5         *      *       *     *     6      15       0
5         *      *       *     *     10     15       0
5         *      *       *     *     14     15       0
5         *      *       *     *     18     15       0
5         *      *       *     *     22     15       0
6         *      *       *     *     2      25       0
6         *      *       *     *     6      25       0
6         *      *       *     *     10     25       0
6         *      *       *     *     14     25       0
6         *      *       *     *     18     25       0
6         *      *       *     *     22     25       0
7         *      *       *     *     2      50       0
7         *      *       *     *     6      50       0
7         *      *       *     *     10     50       0
7         *      *       *     *     14     50       0
7         *      *       *     *     18     50       0
7         *      *       *     *     22     50       0
8         *      *       *     *     1      0        0
8         *      *       *     *     5      0        0 
8         *      *       *     *     9      0        0
8         *      *       *     *     13     0        0
8         *      *       *     *     17     0        0
8         *      *       *     *     21     0        0
9         *      *       *     *     8      40       0
9         *      *       *     *     11     40       0
9         *      *       *     *     13     40       0
9         *      *       *     *     18     40       0
10        *      *       *     *     10     40       0
10        *      *       *     *     13     40       0
10        *      *       *     *     15     40       0
10        *      *       *     *     20     40       0
end

1
//Index   RespawnMessage   DespawnMessage   BossIndex   BossMessage   InvasionTime
0         192              *                55          202           600
1         193              *                42          203           600
2         194              *                501         204           600
3         195              *                135         205           600
4         196              *                *           *             600
5         197              *                *           *             600
6         198              *                *           *             600
7         199              *                476         206           600
8         200              *                561         207           600
9         210              *                *           *             600
10        211              *                *           *             600
end

2
//Index   Group   Map   Value   Random[0-Spawns on every map which is listed in group, 1 Spawns on one of the maps which is listed in group]
0         0       0     0       1        // Bone King - Lorencia (random)
0         0       3     0       1        // Bone King - Noria (random)
1         0       0     0       1        
1         0       2     0       1        
1         0       3     0       1        
2         0       0     0       1
2         1       2     0       1
2         2       2     0       1
2         3       3     0       1
2         4       0     0       1
2         4       2     0       1
2         4       3     0       1
2         4       51    0       1
2         5       7     0       1
2         6       7     0       1
2         7       8     0       1
2         8       8     0       1
2         9       1     0       1
2         10      4     0       1
2         11      33    0       1
2         12      10    0       1
2         13      37    0       1
2         14      38    0       1
2         15      57    0       1
2         16      56    0       1
2         17      37    0       1
2         17      57    0       1
2         19      0     0       0
2         19      1     0       0
2         19      2     0       0
2         19      3     0       0
2         19      4     0       0
2         19      7     0       0
2         19      8     0       0
2         19      37    0       0
2         19      38    0       0
2         19      33    0       0
2         19      51    0       0
3         0       0     0       1
3         0       2     0       1
3         0       3     0       1
4         0       4     0       1
4         0       7     0       1
4         0       8     0       1
4         0       33    0       1
4         0       37    0       1
4         0       57    0       1
5         0       4     0       1
5         0       7     0       1
5         0       8     0       1
5         0       33    0       1
5         0       37    0       1
5         0       57    0       1
6         0       4     0       1
6         0       7     0       1
6         0       8     0       1
6         0       33    0       1
6         0       37    0       1
6         0       57    0       1
7         0       0     0       1
7         0       2     0       1
7         0       3     0       1
8         0       56    0       1
8         0       56    1       1
8         0       56    2       1
8         0       56    3       1
9         0       4     0       1
10        0       51    0       1
end

3
//Index   Group   MonsterClass   RegenType   RegenTime
0         0       55             0           0
0         0       56             0           0
1         0       42             0           0
2         0       43             0           0
2         1       53             0           0
2         2       54             0           0
2         3       78             0           0
2         4       79             0           0
2         5       80             0           0
2         6       81             0           0
2         7       82             0           0
2         8       83             0           0
2         9       493            0           0
2         10      494            0           0
2         11      495            0           0
2         12      496            0           0
2         13      497            0           0
2         14      498            0           0
2         15      499            0           0
2         16      500            0           0
2         17      501            0           0
2         18      55             0           0
2         19      502            0           0
3         0       135            0           0
3         0       136            0           0
3         0       137            0           0
4         0       365            0           0
5         0       413            0           0
6         0       463            0           0
7         0       466            0           0
7         0       476            0           0
8         0       560            0           0
8         0       561            0           0
9         0       463            0           0
10        0       413            0           0
end
