0
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     0      0        0
*        *       *     *     6      0        0
*        *       *     *     12     0        0
*        *       *     *     18     0        0
end

1
//Index   Group   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
5         0       9         9         9         9         9         9         9         5000         //Blade
6         0       9         9         9         9         9         9         9         5000         //Gladius
7         0       9         9         9         9         9         9         9         5000         //Falchion
8         0       9         9         9         9         9         9         9         5000         //Serpent Sword
9         0       9         9         9         9         9         9         9         5000         //Sword of Salamander
10        0       9         9         9         9         9         9         9         5000         //Light Saber
11        0       9         9         9         9         9         9         9         5000         //Legendary Sword
12        0       9         9         9         9         9         9         9         5000         //Heliacal Sword
13        0       9         9         9         9         9         9         9         5000         //Double Blade
14        0       9         9         9         9         9         9         9         5000         //Lighting Sword
15        0       9         9         9         9         9         9         9         5000         //Giant Sword
16        0       9         9         9         9         9         9         9         1000         //Sword of Destruction
17        0       9         9         9         9         9         9         9         1000         //Dark Breaker
18        0       9         9         9         9         9         9         9         1000         //Thunder Blade
20        0       9         9         9         9         9         9         9         1000         //Knight Blade
// === Box of Kundun +1 items ===
// --- Group 0 (Weapons: Swords, Axes, Maces) ---
2         0       9         9         9         9         9         9         9         2000         // Rapier (BoK1)
3         0       9         9         9         9         9         9         9         2000         // Katana (BoK1)
4         0       9         9         9         9         9         9         9         2000         // Sword of Assassin (BoK1)
513       0       9         9         9         9         9         9         9         2000         // Hand Axe (BoK1)
514       0       9         9         9         9         9         9         9         2000         // Double Axe (BoK1)
515       0       9         9         9         9         9         9         9         2000         // Tomahawk (BoK1)
516       0       9         9         9         9         9         9         9         2000         // Elven Axe (BoK1)
517       0       9         9         9         9         9         9         9         2000         //Battle Axe
518       0       9         9         9         9         9         9         9         2000         //Nikea Axe
519       0       9         9         9         9         9         9         9         2000         //Larkan Axe
520       0       9         9         9         9         9         9         9         2000         //Crescent Axe
1024      0       9         9         9         9         9         9         9         2000         //Mace
1025      0       9         9         9         9         9         9         9         2000         //Morning Star
1026      0       9         9         9         9         9         9         9         2000         //Flail
1027      0       9         9         9         9         9         9         9         2000         //Great Hammer
1028      0       9         9         9         9         9         9         9         2000         //Crystal Morning Star
1541      0       9         9         9         9         9         9         9         2000         //Double Poleaxe
1542      0       9         9         9         9         9         9         9         2000         //Halberd
1543      0       9         9         9         9         9         9         9         2000         //Berdysh
1544      0       9         9         9         9         9         9         9         1000         //Great Scythe
1545      0       9         9         9         9         9         9         9         1000         //Bill of Balrog
1546      0       9         9         9         9         9         9         9         1000         //Dragon Spear
1547      0       9         9         9         9         9         9         9         1000         //Brova
// === Box of Kundun +1 items ===
// --- Group 1 (Staves) ---
2560      1       9         9         9         9         9         9         9         5000         // Skull Staff (BoK1)
2561      1       9         9         9         9         9         9         9         5000         // Angelic Staff (BoK1)
2562      1       9         9         9         9         9         9         9         5000         //Serpent Staff
2563      1       9         9         9         9         9         9         9         5000         //Thunder Staff
2564      1       9         9         9         9         9         9         9         5000         //Gorgon Staff
2565      1       9         9         9         9         9         9         9         5000         //Legendary Staff
2566      1       9         9         9         9         9         9         9         2000         //Staff of Resurrection
2568      1       9         9         9         9         9         9         9         2000         //Staff of Destruction
2569      1       9         9         9         9         9         9         9         2000         //Dragon Soul Staff
2571      1       9         9         9         9         9         9         9         1500         //Staff of Kundun
2593      1       9         9         9         9         9         9         9         1000         //Chromatic Staff
2053      2       9         9         9         9         9         9         9         4083         //Silver Bow
2056      2       9         9         9         9         9         9         9         5000         //Crossbow
2057      2       9         9         9         9         9         9         9         5000         //Golden Crossbow
2058      2       9         9         9         9         9         9         9         5000         //Arquebus
2059      2       9         9         9         9         9         9         9         5000         //Light Crossbow
2060      2       9         9         9         9         9         9         9         2000         //Serpent Crossbow
2061      2       9         9         9         9         9         9         9         2000         //Bluewing Crossbow
2062      2       9         9         9         9         9         9         9         2000         //Aquagold Crossbow
2064      2       9         9         9         9         9         9         9         2000         //Saint Crossbow
2065      2       9         9         9         9         9         9         9         1000         //Celestial Bow
2067      2       9         9         9         9         9         9         9         1000         //Great Reign Crossbow
// === Box of Kundun +1 items ===
// --- Group 2 (Bows/Crossbows) ---
2048      2       9         9         9         9         9         9         9         5000         // Short Bow (BoK1)
2049      2       9         9         9         9         9         9         9         5000         // Bow (BoK1)
2050      2       9         9         9         9         9         9         9         5000         // Elven Bow (BoK1)
2051      2       9         9         9         9         9         9         9         5000         // Battle Bow (BoK1)
1032      3       9         9         9         9         9         9         9         5000         //Battle Scepter
1033      3       9         9         9         9         9         9         9         3000         //Master Scepter
1034      3       9         9         9         9         9         9         9         3000         //Great Scepter
1035      3       9         9         9         9         9         9         9         3000         //Lord Scepter
1036      3       9         9         9         9         9         9         9         1000         //Great Lord Scepter
2574      4       9         9         9         9         9         9         9         5000         //Mystery Stick
2575      4       9         9         9         9         9         9         9         5000         //Violent Wind Stick
2576      4       9         9         9         9         9         9         9         5000         //Red Wing Stick
2577      4       9         9         9         9         9         9         9         3000         //Ancient Stick
2578      4       9         9         9         9         9         9         9         1000         //Demonic Stick
end
