/////////////////////////////////////////////////////////////////////////////
//Editor Cortesia de www.GamesBit.net
///////////////////////////
//Aporte de www.facebook.com/Arnold.DGD
///////////////////////////
//Archivo: 010 - Box of Kundun 4
/////////////////////////////////////////////////////////////////////////////
0
//EventName	DropZen	ItemDropRate	ItemDropCount	SetItemDropRate	ItemDropType	Fireworks
"Box of Kundun 4"	1000	100	1	0	0	1
end

1
//Section	Type	MinLevel	MaxLevel	Skill	Luck	Option	Excellent	NameItem
14	248	0	1	0	0	0	0
14	246	0	1	0	0	0	0
14	245	0	1	0	0	0	0
14	244	0	1	0	0	0	0
14	249	0	1	0	0	0	0
14	252	0	1	0	0	0	0
7	21	0	0	0	1	0	2	//Great Dragon Helm
7	24	0	0	0	1	0	2	//Red Spirit Helm
7	28	0	0	0	1	0	2	//Dark Master Helm
7	43	0	0	0	1	0	2	//Aura Helm
8	21	0	0	0	1	0	2	//Great Dragon Armor
8	24	0	0	0	1	0	2	//Red Spirit Armor
8	28	0	0	0	1	0	2	//Dark Master Armor
8	43	0	0	0	1	0	2	//Aura Armor
9	21	0	0	0	1	0	2	//Great Dragon Pants
9	24	0	0	0	1	0	2	//Red Spirit Pants
9	28	0	0	0	1	0	2	//Dark Master Pants
9	43	0	0	0	1	0	2	//Aura Pants
10	21	0	0	0	1	0	2	//Great Dragon Gloves
10	24	0	0	0	1	0	2	//Red Spirit Gloves
10	28	0	0	0	1	0	2	//Dark Master Gloves
10	43	0	0	0	1	0	2	//Aura Gloves
11	21	0	0	0	1	0	2	//Great Dragon Boots
11	24	0	0	0	1	0	2	//Red Spirit Boots
11	28	0	0	0	1	0	2	//Dark Master Boots
11	43	0	0	0	1	0	2	//Aura Boots
0	20	0	0	1	1	0	2	//Knight Blade
0	25	0	0	1	1	0	2	//Sword Dancer
2	12	0	0	1	1	0	2	//Great Lord Scepter
4	17	0	0	1	1	0	2	//Celestial Bow
4	19	0	0	1	1	0	2	//Great Reign Crossbow
4	20	0	0	1	1	0	2	//Arrow Viper Bow
4	22	0	0	1	1	0	2	//Albatross Bow
5	13	0	0	1	1	0	2	//Platina Wing Staff
5	18	0	0	1	1	0	2	//Black Rose Staff
6	13	0	0	1	1	0	3	//Chaos Dragon Shield
7	21	0	0	0	1	0	3	//Great Dragon Helm
7	24	0	0	0	1	0	3	//Red Spirit Helm
7	28	0	0	0	1	0	3	//Dark Master Helm
7	43	0	0	0	1	0	3	//Aura Helm
8	21	0	0	0	1	0	3	//Great Dragon Armor
8	24	0	0	0	1	0	3	//Red Spirit Armor
8	28	0	0	0	1	0	3	//Dark Master Armor
8	43	0	0	0	1	0	3	//Aura Armor
9	21	0	0	0	1	0	3	//Great Dragon Pants
9	24	0	0	0	1	0	3	//Red Spirit Pants
9	28	0	0	0	1	0	3	//Dark Master Pants
9	43	0	0	0	1	0	3	//Aura Pants
10	21	0	0	0	1	0	3	//Great Dragon Gloves
10	24	0	0	0	1	0	3	//Red Spirit Gloves
10	28	0	0	0	1	0	3	//Dark Master Gloves
10	43	0	0	0	1	0	3	//Aura Gloves
11	21	0	0	0	1	0	3	//Great Dragon Boots
11	24	0	0	0	1	0	3	//Red Spirit Boots
11	28	0	0	0	1	0	3	//Dark Master Boots
11	43	0	0	0	1	0	3	//Aura Boots
0	20	0	0	1	1	0	3	//Knight Blade
0	25	0	0	1	1	0	3	//Sword Dancer
2	12	0	0	1	1	0	3	//Great Lord Scepter
4	17	0	0	1	1	0	3	//Celestial Bow
4	19	0	0	1	1	0	3	//Great Reign Crossbow
4	20	0	0	1	1	0	3	//Arrow Viper Bow
4	22	0	0	1	1	0	3	//Albatross Bow
5	13	0	0	1	1	0	3	//Platina Wing Staff
5	18	0	0	1	1	0	3	//Black Rose Staff
6	13	0	0	1	1	0	3	//Chaos Dragon Shield
7	21	0	0	0	0	0	2	//Great Dragon Helm
7	24	0	0	0	0	0	2	//Red Spirit Helm
7	28	0	0	0	0	0	2	//Dark Master Helm
7	43	0	0	0	0	0	2	//Aura Helm
8	21	0	0	0	0	0	2	//Great Dragon Armor
8	24	0	0	0	0	0	2	//Red Spirit Armor
8	28	0	0	0	0	0	2	//Dark Master Armor
8	43	0	0	0	0	0	2	//Aura Armor
9	21	0	0	0	0	0	2	//Great Dragon Pants
9	24	0	0	0	0	0	2	//Red Spirit Pants
9	28	0	0	0	0	0	2	//Dark Master Pants
9	43	0	0	0	0	0	2	//Aura Pants
10	21	0	0	0	0	0	2	//Great Dragon Gloves
10	24	0	0	0	0	0	2	//Red Spirit Gloves
10	28	0	0	0	0	0	2	//Dark Master Gloves
10	43	0	0	0	0	0	2	//Aura Gloves
11	21	0	0	0	0	0	2	//Great Dragon Boots
11	24	0	0	0	0	0	2	//Red Spirit Boots
11	28	0	0	0	0	0	2	//Dark Master Boots
11	43	0	0	0	0	0	2	//Aura Boots
0	20	0	0	1	0	0	2	//Knight Blade
0	25	0	0	1	0	0	2	//Sword Dancer
2	12	0	0	1	0	0	2	//Great Lord Scepter
4	17	0	0	1	0	0	2	//Celestial Bow
4	19	0	0	1	0	0	2	//Great Reign Crossbow
4	20	0	0	1	0	0	2	//Arrow Viper Bow
4	22	0	0	1	0	0	2	//Albatross Bow
5	13	0	0	1	0	0	2	//Platina Wing Staff
5	18	0	0	1	0	0	2	//Black Rose Staff
6	13	0	0	1	0	0	3	//Chaos Dragon Shield
7	21	0	0	0	0	0	3	//Great Dragon Helm
7	24	0	0	0	0	0	3	//Red Spirit Helm
7	28	0	0	0	0	0	3	//Dark Master Helm
7	43	0	0	0	0	0	3	//Aura Helm
8	21	0	0	0	0	0	3	//Great Dragon Armor
8	24	0	0	0	0	0	3	//Red Spirit Armor
8	28	0	0	0	0	0	3	//Dark Master Armor
8	43	0	0	0	0	0	3	//Aura Armor
9	21	0	0	0	0	0	3	//Great Dragon Pants
9	24	0	0	0	0	0	3	//Red Spirit Pants
9	28	0	0	0	0	0	3	//Dark Master Pants
9	43	0	0	0	0	0	3	//Aura Pants
10	21	0	0	0	0	0	3	//Great Dragon Gloves
10	24	0	0	0	0	0	3	//Red Spirit Gloves
10	28	0	0	0	0	0	3	//Dark Master Gloves
10	43	0	0	0	0	0	3	//Aura Gloves
11	21	0	0	0	0	0	3	//Great Dragon Boots
11	24	0	0	0	0	0	3	//Red Spirit Boots
11	28	0	0	0	0	0	3	//Dark Master Boots
11	43	0	0	0	0	0	3	//Aura Boots
0	20	0	0	1	0	0	3	//Knight Blade
0	25	0	0	1	0	0	3	//Sword Dancer
2	12	0	0	1	0	0	3	//Great Lord Scepter
4	17	0	0	1	0	0	3	//Celestial Bow
4	19	0	0	1	0	0	3	//Great Reign Crossbow
4	20	0	0	1	0	0	3	//Arrow Viper Bow
4	22	0	0	1	0	0	3	//Albatross Bow
5	13	0	0	1	0	0	3	//Platina Wing Staff
5	18	0	0	1	0	0	3	//Black Rose Staff
6	13	0	0	1	0	0	3	//Chaos Dragon Shield
end
2
