0
//EventName         DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Erohim"	         1000	   100		            3		        0		            0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent

0           22     0          7          1       1      1        1
0           23     0          7          1       1      1        1
0           24     0          7          1       1      1        1
0           25     0          7          1       1      1        1
0           26     0          7          1       1      1        1
0           27     0          7          1       1      1        1
0           28     0          7          1       1      1        1
0           35     0          7          1       1      1        1
2           14     0          7          1       1      1        1
2           16     0          7          1       1      1        1
2           17     0          7          1       1      1        1
4           21     0          7          1       1      1        1
4           23     0          7          1       1      1        1
5           12     0          7          1       1      1        1
5           19     0          7          1       1      1        1
5           20     0          7          1       1      1        1
5           30     0          7          1       1      1        1
5           31     0          7          1       1      1        1
6           17     0          7          1       1      1        1
6           18     0          7          1       1      1        1
6           19     0          7          1       1      1        1
6           20     0          7          1       1      1        1
6           21     0          7          1       1      1        1
7           29     0          7          1       1      1        1
7           30     0          7          1       1      1        1
7           31     0          7          1       1      1        1
7           32     0          7          1       1      1        1
7           43     0          7          1       1      1        1
7           44     0          7          1       1      1        1
7           45     0          7          1       1      1        1
7           46     0          7          1       1      1        1
7           49     0          7          1       1      1        1
7           50     0          7          1       1      1        1
7           51     0          7          1       1      1        1
7           52     0          7          1       1      1        1
7           73     0          7          1       1      1        1
8           29     0          7          1       1      1        1
8           30     0          7          1       1      1        1
8           31     0          7          1       1      1        1
8           32     0          7          1       1      1        1
8           33     0          7          1       1      1        1
8           43     0          7          1       1      1        1
8           44     0          7          1       1      1        1
8           45     0          7          1       1      1        1
8           46     0          7          1       1      1        1
8           47     0          7          1       1      1        1
8           48     0          7          1       1      1        1
8           49     0          7          1       1      1        1
8           50     0          7          1       1      1        1
8           51     0          7          1       1      1        1
8           52     0          7          1       1      1        1
8           73     0          7          1       1      1        1
9           29     0          7          1       1      1        1
9           30     0          7          1       1      1        1
9           31     0          7          1       1      1        1
9           32     0          7          1       1      1        1
9           33     0          7          1       1      1        1
9           43     0          7          1       1      1        1
9           44     0          7          1       1      1        1
