0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Illusion Temple 6"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
12          15     0          0          0       0      0        0 // chaos
14          13     0          0          0       0      0        0 // bless
14          14     0          0          0       0      0        0 // soul
14          22     0          0          0       0      0        0
14          31     0          0          0       0      0        0
12          30     0          0          0       0      0        0 // Bless bundle
12          31     0          0          0       0      0        0 // Soul Bundle
12          141    0          0          0       0      0        0 // Chaos Bundle
12          15     0          0          0       0      0        0 // chaos
14          13     0          0          0       0      0        0 // bless
14          14     0          0          0       0      0        0 // soul
14          22     0          0          0       0      0        0
14          31     0          0          0       0      0        0
12          30     0          0          0       0      0        0 // Bless bundle
12          31     0          0          0       0      0        0 // Soul Bundle
12          141    0          0          0       0      0        0 // Chaos Bundle
12          15     0          0          0       0      0        0 // chaos
14          13     0          0          0       0      0        0 // bless
14          14     0          0          0       0      0        0 // soul
14          22     0          0          0       0      0        0
14          31     0          0          0       0      0        0
12          30     0          0          0       0      0        0 // Bless bundle
12          31     0          0          0       0      0        0 // Soul Bundle
12          141    0          0          0       0      0        0 // Chaos Bundle
12          15     0          0          0       0      0        0 // chaos
14          13     0          0          0       0      0        0 // bless
14          14     0          0          0       0      0        0 // soul
14          22     0          0          0       0      0        0
14          31     0          0          0       0      0        0
12          30     0          0          0       0      0        0 // Bless bundle
12          31     0          0          0       0      0        0 // Soul Bundle
12          141    0          0          0       0      0        0 // Chaos Bundle




14          141     0          0          0       0      0        0 // Flybox normal
end
