0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Medusa"		 1000	   50		  10		  1500		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           22          1       7           0      0       0        1
0           23          1       7           0      0       0        1
0           26          1       7           0      0       0        1
0           27          1       7           0      0       0        1
0           28          1       7           0      0       0        1
0           35          1       7           0      0       0        1
2           14          4       9           0      1       0        1
2           16          4       9           0      1       0        1
2           17          4       9           0      1       0        1
4           21          4       9           0      1       0        1
4           23          4       9           0      1       0        1
5           12          4       9           0      1       0        1
5           19          4       9           0      1       0        1
5           20          4       9           0      1       0        1
5           30          4       9           0      1       0        1
5           31          4       9           0      1       0        1
6           17          4       9           0      1       0        1
6           18          4       9           0      1       0        1
6           19          4       9           0      1       0        1
6           20          4       9           0      1       0        1
6           21          4       9           0      1       0        1
12          60          0       0           0      0       0        1
12          61          0       0           0      0       0        1
12          62          0       0           0      0       0        1
12          63          0       0           0      0       0        1
12          64          0       0           0      0       0        1
12          65          0       0           0      0       0        1

0           22          1       7           0      0       0        2
0           23          1       7           0      0       0        2
0           26          1       7           0      0       0        2
0           27          1       7           0      0       0        2
0           28          1       7           0      0       0        2
0           35          1       7           0      0       0        2
2           14          4       9           0      1       0        2
2           16          4       9           0      1       0        2
2           17          4       9           0      1       0        2
4           21          4       9           0      1       0        2
4           23          4       9           0      1       0        2
5           12          4       9           0      1       0        2
5           19          4       9           0      1       0        2
5           20          4       9           0      1       0        2
5           30          4       9           0      1       0        2
5           31          4       9           0      1       0        2
6           17          4       9           0      1       0        2
6           18          4       9           0      1       0        2
6           19          4       9           0      1       0        2
6           20          4       9           0      1       0        2
6           21          4       9           0      1       0        2
12          60          0       0           0      0       0        2
12          61          0       0           0      0       0        2
12          62          0       0           0      0       0        2
12          63          0       0           0      0       0        2
12          64          0       0           0      0       0        2
12          65          0       0           0      0       0        2

0           22          1       7           0      0       0        3
0           23          1       7           0      0       0        3
0           26          1       7           0      0       0        3
0           27          1       7           0      0       0        3
0           28          1       7           0      0       0        3
0           35          1       7           0      0       0        3
2           14          4       9           0      1       0        3
2           16          4       9           0      1       0        3
2           17          4       9           0      1       0        3
4           21          4       9           0      1       0        3
4           23          4       9           0      1       0        3
5           12          4       9           0      1       0        3
5           19          4       9           0      1       0        3
5           20          4       9           0      1       0        3
5           30          4       9           0      1       0        3
5           31          4       9           0      1       0        3
6           17          4       9           0      1       0        3
6           18          4       9           0      1       0        3
6           19          4       9           0      1       0        3
6           20          4       9           0      1       0        3
6           21          4       9           0      1       0        3
12          60          0       0           0      0       0        3
12          61          0       0           0      0       0        3
12          62          0       0           0      0       0        3
12          63          0       0           0      0       0        3
12          64          0       0           0      0       0        3
12          65          0       0           0      0       0        3

//

0           22          1       7           1      0       0        1
0           23          1       7           1      0       0        1
0           26          1       7           1      0       0        1
0           27          1       7           1      0       0        1
0           28          1       7           1      0       0        1
0           35          1       7           1      0       0        1
2           14          4       9           1      1       0        1
2           16          4       9           1      1       0        1
2           17          4       9           1      1       0        1
4           21          4       9           1      1       0        1
4           23          4       9           1      1       0        1
5           12          4       9           1      1       0        1
5           19          4       9           1      1       0        1
5           20          4       9           1      1       0        1
5           30          4       9           1      1       0        1
5           31          4       9           1      1       0        1
6           17          4       9           1      1       0        1
6           18          4       9           1      1       0        1
6           19          4       9           1      1       0        1
6           20          4       9           1      1       0        1
6           21          4       9           1      1       0        1
12          60          0       0           1      0       0        1
12          61          0       0           1      0       0        1
12          62          0       0           1      0       0        1
12          63          0       0           1      0       0        1
12          64          0       0           1      0       0        1
12          65          0       0           1      0       0        1

0           22          1       7           1      0       0        2
0           23          1       7           1      0       0        2
0           26          1       7           1      0       0        2
0           27          1       7           1      0       0        2
0           28          1       7           1      0       0        2
0           35          1       7           1      0       0        2
2           14          4       9           1      1       0        2
2           16          4       9           1      1       0        2
2           17          4       9           1      1       0        2
4           21          4       9           1      1       0        2
4           23          4       9           1      1       0        2
5           12          4       9           1      1       0        2
5           19          4       9           1      1       0        2
5           20          4       9           1      1       0        2
5           30          4       9           1      1       0        2
5           31          4       9           1      1       0        2
6           17          4       9           1      1       0        2
6           18          4       9           1      1       0        2
6           19          4       9           1      1       0        2
6           20          4       9           1      1       0        2
6           21          4       9           1      1       0        2
12          60          0       0           1      0       0        2
12          61          0       0           1      0       0        2
12          62          0       0           1      0       0        2
12          63          0       0           1      0       0        2
12          64          0       0           1      0       0        2
12          65          0       0           1      0       0        2

0           22          1       7           1      0       0        3
0           23          1       7           1      0       0        3
0           26          1       7           1      0       0        3
0           27          1       7           1      0       0        3
0           28          1       7           1      0       0        3
0           35          1       7           1      0       0        3
2           14          4       9           1      1       0        3
2           16          4       9           1      1       0        3
2           17          4       9           1      1       0        3
4           21          4       9           1      1       0        3
4           23          4       9           1      1       0        3
5           12          4       9           1      1       0        3
5           19          4       9           1      1       0        3
5           20          4       9           1      1       0        3
5           30          4       9           1      1       0        3
5           31          4       9           1      1       0        3
6           17          4       9           1      1       0        3
6           18          4       9           1      1       0        3
6           19          4       9           1      1       0        3
6           20          4       9           1      1       0        3
6           21          4       9           1      1       0        3
12          60          0       0           1      0       0        3
12          61          0       0           1      0       0        3
12          62          0       0           1      0       0        3
12          63          0       0           1      0       0        3
12          64          0       0           1      0       0        3
12          65          0       0           1      0       0        3

// 2

0           22          1       7           1      1       0        1
0           23          1       7           1      1       0        1
0           26          1       7           1      1       0        1
0           27          1       7           1      1       0        1
0           28          1       7           1      1       0        1
0           35          1       7           1      1       0        1
2           14          4       9           1      1       0        1
2           16          4       9           1      1       0        1
2           17          4       9           1      1       0        1
4           21          4       9           1      1       0        1
4           23          4       9           1      1       0        1
5           12          4       9           1      1       0        1
5           19          4       9           1      1       0        1
5           20          4       9           1      1       0        1
5           30          4       9           1      1       0        1
5           31          4       9           1      1       0        1
6           17          4       9           1      1       0        1
6           18          4       9           1      1       0        1
6           19          4       9           1      1       0        1
6           20          4       9           1      1       0        1
6           21          4       9           1      1       0        1
12          60          0       0           1      1       0        1
12          61          0       0           1      1       0        1
12          62          0       0           1      1       0        1
12          63          0       0           1      1       0        1
12          64          0       0           1      1       0        1
12          65          0       0           1      1       0        1

0           22          1       7           1      1       0        2
0           23          1       7           1      1       0        2
0           26          1       7           1      1       0        2
0           27          1       7           1      1       0        2
0           28          1       7           1      1       0        2
0           35          1       7           1      1       0        2
2           14          4       9           1      1       0        2
2           16          4       9           1      1       0        2
2           17          4       9           1      1       0        2
4           21          4       9           1      1       0        2
4           23          4       9           1      1       0        2
5           12          4       9           1      1       0        2
5           19          4       9           1      1       0        2
5           20          4       9           1      1       0        2
5           30          4       9           1      1       0        2
5           31          4       9           1      1       0        2
6           17          4       9           1      1       0        2
6           18          4       9           1      1       0        2
6           19          4       9           1      1       0        2
6           20          4       9           1      1       0        2
6           21          4       9           1      1       0        2
12          60          0       0           1      1       0        2
12          61          0       0           1      1       0        2
12          62          0       0           1      1       0        2
12          63          0       0           1      1       0        2
12          64          0       0           1      1       0        2
12          65          0       0           1      1       0        2

0           22          1       7           1      1       0        3
0           23          1       7           1      1       0        3
0           26          1       7           1      1       0        3
0           27          1       7           1      1       0        3
0           28          1       7           1      1       0        3
0           35          1       7           1      1       0        3
2           14          4       9           1      1       0        3
2           16          4       9           1      1       0        3
2           17          4       9           1      1       0        3
4           21          4       9           1      1       0        3
4           23          4       9           1      1       0        3
5           12          4       9           1      1       0        3
5           19          4       9           1      1       0        3
5           20          4       9           1      1       0        3
5           30          4       9           1      1       0        3
5           31          4       9           1      1       0        3
6           17          4       9           1      1       0        3
6           18          4       9           1      1       0        3
6           19          4       9           1      1       0        3
6           20          4       9           1      1       0        3
6           21          4       9           1      1       0        3
12          60          0       0           1      1       0        3
12          61          0       0           1      1       0        3
12          62          0       0           1      1       0        3
12          63          0       0           1      1       0        3
12          64          0       0           1      1       0        3
12          65          0       0           1      1       0        3

// 3

0           22          1       7           1      1      1       1
0           23          1       7           1      1      1       1
0           26          1       7           1      1      1       1
0           27          1       7           1      1      1       1
0           28          1       7           1      1      1       1
0           35          1       7           1      1      1       1
2           14          4       9           1      1      1       1
2           16          4       9           1      1      1       1
2           17          4       9           1      1      1       1
4           21          4       9           1      1      1       1
4           23          4       9           1      1      1       1
5           12          4       9           1      1      1       1
5           19          4       9           1      1      1       1
5           20          4       9           1      1      1       1
5           30          4       9           1      1      1       1
5           31          4       9           1      1      1       1
6           17          4       9           1      1      1       1
6           18          4       9           1      1      1       1
6           19          4       9           1      1      1       1
6           20          4       9           1      1      1       1
6           21          4       9           1      1      1       1
12          60          0       0           1      1      1       1
12          61          0       0           1      1      1       1
12          62          0       0           1      1      1       1
12          63          0       0           1      1      1       1
12          64          0       0           1      1      1       1
12          65          0       0           1      1      1       1

0           22          1       7           1      1      1       2
0           23          1       7           1      1      1       2
0           26          1       7           1      1      1       2
0           27          1       7           1      1      1       2
0           28          1       7           1      1      1       2
0           35          1       7           1      1      1       2
2           14          4       9           1      1      1       2
2           16          4       9           1      1      1       2
2           17          4       9           1      1      1       2
4           21          4       9           1      1      1       2
4           23          4       9           1      1      1       2
5           12          4       9           1      1      1       2
5           19          4       9           1      1      1       2
5           20          4       9           1      1      1       2
5           30          4       9           1      1      1       2
5           31          4       9           1      1      1       2
6           17          4       9           1      1      1       2
6           18          4       9           1      1      1       2
6           19          4       9           1      1      1       2
6           20          4       9           1      1      1       2
6           21          4       9           1      1      1       2
12          60          0       0           1      1      1       2
12          61          0       0           1      1      1       2
12          62          0       0           1      1      1       2
12          63          0       0           1      1      1       2
12          64          0       0           1      1      1       2
12          65          0       0           1      1      1       2

0           22          1       7           1      1      1       3
0           23          1       7           1      1      1       3
0           26          1       7           1      1      1       3
0           27          1       7           1      1      1       3
0           28          1       7           1      1      1       3
0           35          1       7           1      1      1       3
2           14          4       9           1      1      1       3
2           16          4       9           1      1      1       3
2           17          4       9           1      1      1       3
4           21          4       9           1      1      1       3
4           23          4       9           1      1      1       3
5           12          4       9           1      1      1       3
5           19          4       9           1      1      1       3
5           20          4       9           1      1      1       3
5           30          4       9           1      1      1       3
5           31          4       9           1      1      1       3
6           17          4       9           1      1      1       3
6           18          4       9           1      1      1       3
6           19          4       9           1      1      1       3
6           20          4       9           1      1      1       3
6           21          4       9           1      1      1       3
12          60          0       0           1      1      1       3
12          61          0       0           1      1      1       3
12          62          0       0           1      1      1       3
12          63          0       0           1      1      1       3
12          64          0       0           1      1      1       3
12          65          0       0           1      1      1       3

// 4

0           22          1       7           1      0       1        1
0           23          1       7           1      0       1        1
0           26          1       7           1      0       1        1
0           27          1       7           1      0       1        1
0           28          1       7           1      0       1        1
0           35          1       7           1      0       1        1
2           14          4       9           1      1       1        1
2           16          4       9           1      1       1        1
2           17          4       9           1      1       1        1
4           21          4       9           1      1       1        1
4           23          4       9           1      1       1        1
5           12          4       9           1      1       1        1
5           19          4       9           1      1       1        1
5           20          4       9           1      1       1        1
5           30          4       9           1      1       1        1
5           31          4       9           1      1       1        1
6           17          4       9           1      1       1        1
6           18          4       9           1      1       1        1
6           19          4       9           1      1       1        1
6           20          4       9           1      1       1        1
6           21          4       9           1      1       1        1
12          60          0       0           1      0       1        1
12          61          0       0           1      0       1        1
12          62          0       0           1      0       1        1
12          63          0       0           1      0       1        1
12          64          0       0           1      0       1        1
12          65          0       0           1      0       1        1

0           22          1       7           1      0       1        2
0           23          1       7           1      0       1        2
0           26          1       7           1      0       1        2
0           27          1       7           1      0       1        2
0           28          1       7           1      0       1        2
0           35          1       7           1      0       1        2
2           14          4       9           1      1       1        2
2           16          4       9           1      1       1        2
2           17          4       9           1      1       1        2
4           21          4       9           1      1       1        2
4           23          4       9           1      1       1        2
5           12          4       9           1      1       1        2
5           19          4       9           1      1       1        2
5           20          4       9           1      1       1        2
5           30          4       9           1      1       1        2
5           31          4       9           1      1       1        2
6           17          4       9           1      1       1        2
6           18          4       9           1      1       1        2
6           19          4       9           1      1       1        2
6           20          4       9           1      1       1        2
6           21          4       9           1      1       1        2
12          60          0       0           1      0       1        2
12          61          0       0           1      0       1        2
12          62          0       0           1      0       1        2
12          63          0       0           1      0       1        2
12          64          0       0           1      0       1        2
12          65          0       0           1      0       1        2

0           22          1       7           1      0       1        3
0           23          1       7           1      0       1        3
0           26          1       7           1      0       1        3
0           27          1       7           1      0       1        3
0           28          1       7           1      0       1        3
0           35          1       7           1      0       1        3
2           14          4       9           1      1       1        3
2           16          4       9           1      1       1        3
2           17          4       9           1      1       1        3
4           21          4       9           1      1       1        3
4           23          4       9           1      1       1        3
5           12          4       9           1      1       1        3
5           19          4       9           1      1       1        3
5           20          4       9           1      1       1        3
5           30          4       9           1      1       1        3
5           31          4       9           1      1       1        3
6           17          4       9           1      1       1        3
6           18          4       9           1      1       1        3
6           19          4       9           1      1       1        3
6           20          4       9           1      1       1        3
6           21          4       9           1      1       1        3
12          60          0       0           1      0       1        3
12          61          0       0           1      0       1        3
12          62          0       0           1      0       1        3
12          63          0       0           1      0       1        3
12          64          0       0           1      0       1        3
12          65          0       0           1      0       1        3
end
