0
//===========================================================
//MonsterID    Map       WC       WP       GP       Ruud
//===========================================================
    43         -1       0        0        10        0
    53         -1       0        0        10        0
    54         -1       0        0        10        0
    78         -1       0        0        10        0
    79         -1       0        0        10        0
    80         -1       0        0        10        0
    81         -1       0        0        10        0
    82         -1       0        0        10        0
    83         -1       0        0        10        0
    493        -1       0        0        10        0
    494        -1       0        0        10        0
    495        -1       0        0        10        0
    496        -1       0        0        10        0
    497        -1       0        0        10        0
    498        -1       0        0        10        0
    499        -1       0        0        10        0
    500        -1       0        0        10        0
    501        -1       0        20       100       0
    502        -1       0        0        10        0
end
