/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 002 - Pasi the Wizard
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
7	2	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Pad Helm
7	4	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Bone Helm
7	7	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Sphinx Mask
7	3	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Legendary Helm
8	2	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Pad Armor
8	4	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Bone Armor
8	7	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Sphinx Armor
8	3	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Legendary Armor
9	2	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Pad Pants
9	4	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Bone Pants
9	3	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Legendary Pants
9	7	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Sphinx Pants
10	2	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Pad Gloves
10	4	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Bone Gloves
10	3	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Legendary Gloves
10	7	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Sphinx Gloves
11	2	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Pad Boots
11	4	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Bone Boots
11	3	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Legendary Boots
11	7	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Sphinx Boots
15	5	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Teleport
15	2	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Lighting
15	8	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Evil Spirit
15	7	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Twister
5	0	3	0	0	1	2	0	0	0	0	255	255	255	255	255	//Skull Staff
6	0	4	0	0	1	2	0	0	0	0	255	255	255	255	255	//Small Shield
end
