/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 010 - Elf Lala
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
7	10	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Vine Helm
7	11	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Silk Helm
7	13	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spirit Helm
7	12	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Wind Helm
8	10	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Vine Armor
8	11	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Silk Armor
8	13	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spirit Armor
8	12	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Wind Armor
9	10	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Vine Pants
9	11	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Silk Pants
9	13	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spirit Pants
9	12	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Wind Pants
10	10	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Vine Gloves
10	11	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Silk Gloves
10	13	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spirit Gloves
10	12	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Wind Gloves
11	10	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Vine Boots
11	11	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Silk Boots
11	13	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spirit Boots
11	12	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Wind Boots
4	7	3	255	0	1	0	0	0	0	0	255	255	255	255	255	//Bolt
4	15	3	255	0	1	0	0	0	0	0	255	255	255	255	255	//Arrow
12	8	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Healing Orb
12	9	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Greater Fortitude
12	10	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Greater Damage
12	11	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Summoning
14	1	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Small Healing Potion
14	2	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Healing Potion
14	3	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Large Healing Potion
14	4	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Small Mana Potion
14	5	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Mana Potion
14	6	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Large Mana Potion
14	8	0	100	0	0	0	0	0	0	0	255	255	255	255	255	//Antidote
14	9	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
14	10	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Town Portal Scroll
14	35	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Small SD Potion
14	36	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//SD Potion
14	37	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Large SD Potion
14	38	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Small Complex Potion
14	39	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Complex Potion
14	40	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Large Complex Potion

end
