/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 001 - Liaman the Barmaid
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
14	1	0	255	0	0	0	0	0	0	0	0	0	0	0	0	//Small Healing Potion
14	2	0	255	0	0	0	0	0	0	0	0	0	0	0	0	//Medium Healing Potion
14	3	0	255	0	0	0	0	0	0	0	0	0	0	0	0	//Large Healing Potion
14	4	0	255	0	0	0	0	0	0	0	0	0	0	0	0	//Small Mana Potion
14	5	0	255	0	0	0	0	0	0	0	0	0	0	0	0	//Medium Mana Potion
14	6	0	255	0	0	0	0	0	0	0	0	0	0	0	0	//Large Mana Potion
14	8	0	20	0	0	0	0	0	0	0	0	0	0	0	0	//Antidote
14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//Ale
13	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//Armor of Guardman
14	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	//Dark Stone
14	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//Scroll of Emperor
14	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//Broken Sword
14	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//Churchill Eyes
14	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//Tear of Elf
14	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//Soul Shard of Wizard
14	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	//Ring Of Honor
13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//Imp
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//Guardian Angel
13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//Horn of Uniria
end
