1
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	sX	sY	eX	eY	Dir	Total	Name
// ==========================================================================================================================================================================================================================================
0	0	3	138	79	138	79	-1	5	//Bull Fighter
3	0	3	186	125	187	125	-1	1	//Spider
3	0	3	203	115	203	115	-1	1	//Spider
3	0	3	212	94	211	94	-1	1	//Spider
3	0	3	188	93	188	93	-1	1	//Spider
2	0	3	182	141	182	141	-1	1	//BudgeDragon
2	0	3	211	138	211	138	-1	1	//BudgeDragon
2	0	3	200	156	200	156	-1	1	//BudgeDragon
2	0	3	205	183	205	183	-1	1	//BudgeDragon
2	0	3	228	36	228	36	-1	1	//BudgeDragon
6	0	3	111	186	111	186	-1	5	//Lich
6	0	3	129	190	129	190	-1	5	//Lich
14	0	3	140	217	140	217	-1	5	//SkeletonWarrio
14	0	3	153	232	153	232	-1	5	//SkeletonWarrio
1	0	3	84	117	84	117	-1	5	//Hound
1	0	3	93	102	93	102	-1	5	//Hound
4	0	3	79	136	79	136	-1	5	//EliteBullFight
4	0	3	59	136	59	136	-1	5	//EliteBullFight
7	0	3	22	42	22	42	-1	5	//Giant
7	0	3	22	21	22	21	-1	5	//Giant
end
