//Generated by MU.ToolKit coded by TopReal.IT

// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// =========== MapID: 0
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

0
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
end

2
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
0	0	3	145	76	-1	//Bull Fighter
0	0	3	165	84	-1	//Bull Fighter
0	0	3	143	44	-1	//Bull Fighter
0	0	3	166	59	-1	//Bull Fighter
1	0	3	86	116	-1	//Hound
1	0	3	100	94	-1	//Hound
1	0	3	78	79	-1	//Hound
1	0	3	56	113	-1	//Hound
1	0	3	88	146	-1	//Hound
1	0	3	55	151	-1	//Hound
2	0	3	189	117	-1	//Budge Dragon
2	0	3	201	90	-1	//Budge Dragon
2	0	3	213	109	-1	//Budge Dragon
2	0	3	215	131	-1	//Budge Dragon
3	0	3	193	143	-1	//Spider
3	0	3	203	161	-1	//Spider
3	0	3	206	185	-1	//Spider
3	0	3	226	163	-1	//Spider
4	0	3	117	45	-1	//Elite Bull Fighter
4	0	3	92	52	-1	//Elite Bull Fighter
4	0	3	136	21	-1	//Elite Bull Fighter
6	0	3	124	178	-1	//Lich
6	0	3	101	172	-1	//Lich
6	0	3	120	212	-1	//Lich
6	0	3	85	190	-1	//Lich
7	0	3	28	20	-1	//Giant
7	0	3	16	43	-1	//Giant
7	0	3	12	74	-1	//Giant
14	0	3	147	174	-1	//Skeleton Warrior
14	0	3	160	199	-1	//Skeleton Warrior
14	0	3	141	221	-1	//Skeleton Warrior
14	0	3	164	238	-1	//Skeleton Warrior
14	0	3	207	234	-1	//Skeleton Warrior

// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// =========== MapID: 1
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

14	1	3	120	234	-1	//Skeleton Warrior
12	1	3	107	225	-1	//Larva
12	1	3	80	234	-1	//Larva
12	1	3	85	211	-1	//Larva
17	1	3	98	191	-1	//Cyclops
17	1	3	65	208	-1	//Cyclops
11	1	3	63	231	-1	//Ghost
11	1	3	5	214	-1	//Ghost
15	1	3	26	225	-1	//Skeleton Archer
15	1	3	50	236	-1	//Skeleton Archer
15	1	3	50	203	-1	//Skeleton Archer
15	1	3	50	159	-1	//Skeleton Archer
15	1	3	72	169	-1	//Skeleton Archer
15	1	3	99	163	-1	//Skeleton Archer
5	1	3	233	116	-1	//Hell Hound
5	1	3	216	117	-1	//Hell Hound
13	1	3	202	122	-1	//Hell Spider
13	1	3	179	125	-1	//Hell Spider
13	1	3	158	121	-1	//Hell Spider
16	1	3	126	120	-1	//Elite Skeleton
16	1	3	87	117	-1	//Elite Skeleton
16	1	3	96	104	-1	//Elite Skeleton
16	1	3	69	110	-1	//Elite Skeleton
16	1	3	73	55	-1	//Elite Skeleton
9	1	3	6	57	-1	//Thunder Lich
9	1	3	24	57	-1	//Thunder Lich
9	1	3	42	58	-1	//Thunder Lich
8	1	3	42	89	-1	//Poison Bull
8	1	3	7	104	-1	//Poison Bull
10	1	3	6	129	-1	//Dark Knight
10	1	3	41	119	-1	//Dark Knight
18	1	3	25	96	-1	//Gorgon

// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// =========== MapID: 2
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

20	2	3	164	243	-1	//Elite Yeti
20	2	3	163	190	-1	//Elite Yeti
20	2	3	131	218	-1	//Elite Yeti
20	2	3	112	238	-1	//Elite Yeti
19	2	3	98	171	-1	//Yeti
19	2	3	19	105	-1	//Yeti
19	2	3	21	62	-1	//Yeti
19	2	3	72	138	-1	//Yeti
19	2	3	13	143	-1	//Yeti
20	2	3	199	244	-1	//Elite Yeti
20	2	3	197	148	-1	//Elite Yeti
25	2	3	34	224	-1	//Ice Queen
20	2	3	198	175	-1	//Elite Yeti
20	2	3	220	164	-1	//Elite Yeti
20	2	3	241	219	-1	//Elite Yeti
20	2	3	216	218	-1	//Elite Yeti
20	2	3	218	189	-1	//Elite Yeti
20	2	3	239	188	-1	//Elite Yeti
19	2	3	61	51	-1	//Yeti
22	2	3	236	129	-1	//Ice Monster
24	2	3	169	16	-1	//Worm
22	2	3	174	113	-1	//Ice Monster
22	2	3	207	117	-1	//Ice Monster
24	2	3	162	36	-1	//Worm
24	2	3	217	85	-1	//Worm
24	2	3	241	86	-1	//Worm
24	2	3	168	59	-1	//Worm
24	2	3	182	76	-1	//Worm
21	2	3	40	27	-1	//Assassin
21	2	3	22	12	-1	//Assassin
19	2	3	62	13	-1	//Yeti
21	2	3	21	41	-1	//Assassin
23	2	3	101	111	-1	//Hommerd
23	2	3	124	69	-1	//Hommerd
22	2	3	125	24	-1	//Ice Monster
23	2	3	145	150	-1	//Hommerd
23	2	3	149	97	-1	//Hommerd
end
