//Generated by MU.ToolKit coded by TopReal.IT

// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// =========== MapID: 10
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

0
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
end

2
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
74	10	3	48	143	-1	//Alpha Crust
72	10	3	43	170	-1	//Phantom Knight
74	10	3	54	126	-1	//Alpha Crust
73	10	3	37	105	-1	//Drakan
74	10	3	39	125	-1	//Alpha Crust
72	10	3	60	161	-1	//Phantom Knight
75	10	3	28	226	-1	//Giant Drakan
77	10	3	38	235	-1	//Dark Phoenix
75	10	3	49	230	-1	//Giant Drakan
72	10	3	61	190	-1	//Phantom Knight
75	10	3	50	201	-1	//Giant Drakan
69	10	3	75	47	-1	//Alquamos
71	10	3	91	37	-1	//Mega Crust
69	10	3	57	35	-1	//Alquamos
69	10	3	17	34	-1	//Alquamos
69	10	3	37	34	-1	//Alquamos
71	10	3	92	57	-1	//Mega Crust
73	10	3	29	68	-1	//Drakan
73	10	3	36	87	-1	//Drakan
70	10	3	49	72	-1	//Queen Rainer
71	10	3	86	84	-1	//Mega Crust
70	10	3	70	77	-1	//Queen Rainer
end
