//Generated by MU.ToolKit coded by TopReal.IT

// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// =========== MapID: 0
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

0
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
end

1
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	sX	sY	eX	eY	Dir	Total	Name
// ==========================================================================================================================================================================================================================================
14	0	3	153	232	153	232	-1	5	//Skeleton Warrior
1	0	3	84	117	84	117	-1	5	//Hound
14	0	3	140	217	140	217	-1	5	//Skeleton Warrior
6	0	3	111	186	111	186	-1	5	//Lich
6	0	3	129	190	129	190	-1	5	//Lich
7	0	3	22	42	22	42	-1	5	//Giant
7	0	3	22	21	22	21	-1	5	//Giant
4	0	3	59	136	59	136	-1	5	//Elite Bull Fighter
1	0	3	93	102	93	102	-1	5	//Hound
4	0	3	79	136	79	136	-1	5	//Elite Bull Fighter
3	0	3	212	94	211	94	-1	1	//Spider
3	0	3	188	93	188	93	-1	1	//Spider
3	0	3	203	115	203	115	-1	1	//Spider
0	0	3	138	79	138	79	-1	5	//Bull Fighter
3	0	3	186	125	187	125	-1	1	//Spider
2	0	3	205	183	205	183	-1	1	//Budge Dragon
2	0	3	228	36	228	36	-1	1	//Budge Dragon
2	0	3	200	156	200	156	-1	1	//Budge Dragon
2	0	3	182	141	182	141	-1	1	//Budge Dragon
2	0	3	211	138	211	138	-1	1	//Budge Dragon

// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// =========== MapID: 3
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

end

2
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
31	3	3	45	85	-1	//Agon
31	3	3	50	168	-1	//Agon
31	3	3	108	26	-1	//Agon
31	3	3	57	26	-1	//Agon
30	3	3	232	201	-1	//Forest Monster
30	3	3	202	208	-1	//Forest Monster
30	3	3	221	233	-1	//Forest Monster
30	3	3	169	182	-1	//Forest Monster
31	3	3	77	100	-1	//Agon
33	3	3	46	233	-1	//Elite Goblin
33	3	3	14	236	-1	//Elite Goblin
33	3	3	142	238	-1	//Elite Goblin
33	3	3	101	238	-1	//Elite Goblin
32	3	3	11	41	-1	//Stone Golem
32	3	3	31	20	-1	//Stone Golem
33	3	3	20	207	-1	//Elite Goblin
32	3	3	26	115	-1	//Stone Golem
29	3	3	170	143	-1	//Hunter
26	3	3	104	130	-1	//Goblin
26	3	3	126	155	-1	//Goblin
27	3	3	171	64	-1	//Chain Scorpion
26	3	3	93	167	-1	//Goblin
26	3	3	131	129	-1	//Goblin
26	3	3	145	121	-1	//Goblin
26	3	3	127	101	-1	//Goblin
26	3	3	148	101	-1	//Goblin
27	3	3	170	29	-1	//Chain Scorpion
29	3	3	208	141	-1	//Hunter
28	3	3	235	58	-1	//Beetle Monster
29	3	3	193	170	-1	//Hunter
29	3	3	222	167	-1	//Hunter
27	3	3	200	35	-1	//Chain Scorpion
27	3	3	147	49	-1	//Chain Scorpion
28	3	3	230	111	-1	//Beetle Monster
28	3	3	214	70	-1	//Beetle Monster
end
