//Generated by MU.ToolKit coded by TopReal.IT

// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// =========== MapID: 8
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

0
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
end

2
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
61	8	3	22	153	-1	//Beam Knight
61	8	3	29	138	-1	//Beam Knight
61	8	3	36	176	-1	//Beam Knight
61	8	3	51	155	-1	//Beam Knight
61	8	3	64	175	-1	//Beam Knight
58	8	3	108	122	-1	//Tantallos
58	8	3	127	133	-1	//Tantallos
58	8	3	75	129	-1	//Tantallos
58	8	3	97	170	-1	//Tantallos
58	8	3	48	123	-1	//Tantallos
58	8	3	46	248	-1	//Tantallos
58	8	3	10	205	-1	//Tantallos
63	8	3	151	204	-1	//Death Beam Knight
59	8	3	164	208	-1	//Zaikan
63	8	3	180	211	-1	//Death Beam Knight
63	8	3	105	216	-1	//Death Beam Knight
63	8	3	82	200	-1	//Death Beam Knight
63	8	3	125	215	-1	//Death Beam Knight
63	8	3	23	234	-1	//Death Beam Knight
63	8	3	9	244	-1	//Death Beam Knight
58	8	3	118	159	-1	//Tantallos
62	8	3	156	40	-1	//Mutant
62	8	3	174	93	-1	//Mutant
57	8	3	149	31	-1	//Iron Wheel
57	8	3	136	45	-1	//Iron Wheel
57	8	3	134	17	-1	//Iron Wheel
62	8	3	180	113	-1	//Mutant
62	8	3	200	109	-1	//Mutant
62	8	3	162	122	-1	//Mutant
62	8	3	154	102	-1	//Mutant
62	8	3	155	154	-1	//Mutant
60	8	3	71	62	-1	//Bloody Wolf
60	8	3	82	88	-1	//Bloody Wolf
60	8	3	40	56	-1	//Bloody Wolf
60	8	3	52	103	-1	//Bloody Wolf
60	8	3	21	96	-1	//Bloody Wolf
57	8	3	133	71	-1	//Iron Wheel
57	8	3	98	30	-1	//Iron Wheel
57	8	3	108	104	-1	//Iron Wheel
57	8	3	109	84	-1	//Iron Wheel
57	8	3	101	63	-1	//Iron Wheel
end
