//Generated by MU.ToolKit coded by TopReal.IT

// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// =========== MapID: 33
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

0
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
end

2
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
309	33	3	119	104	-1	//Hell Maine
304	33	3	148	198	-1	//Witch Queen
0	33	3	91	120	-1	//Bull Fighter
0	33	3	100	171	-1	//Bull Fighter
304	33	3	132	228	-1	//Witch Queen
304	33	3	158	117	-1	//Witch Queen
304	33	3	179	121	-1	//Witch Queen
304	33	3	160	235	-1	//Witch Queen
304	33	3	135	133	-1	//Witch Queen
0	33	3	88	80	-1	//Bull Fighter
0	33	3	56	121	-1	//Bull Fighter
0	33	3	30	135	-1	//Bull Fighter
0	33	3	54	56	-1	//Bull Fighter
0	33	3	25	56	-1	//Bull Fighter
0	33	3	54	159	-1	//Bull Fighter
0	33	3	84	229	-1	//Bull Fighter
0	33	3	106	45	-1	//Bull Fighter
0	33	3	25	187	-1	//Bull Fighter
0	33	3	35	226	-1	//Bull Fighter
305	33	3	194	208	-1	//Blue Golem
307	33	3	216	35	-1	//Forest Orc
308	33	3	230	13	-1	//Death Tree
307	33	3	168	80	-1	//Forest Orc
307	33	3	156	46	-1	//Forest Orc
308	33	3	192	18	-1	//Death Tree
308	33	3	127	29	-1	//Death Tree
308	33	3	107	12	-1	//Death Tree
308	33	3	170	17	-1	//Death Tree
308	33	3	140	18	-1	//Death Tree
307	33	3	194	55	-1	//Forest Orc
305	33	3	198	154	-1	//Blue Golem
306	33	3	236	155	-1	//Death Rider
305	33	3	215	206	-1	//Blue Golem
305	33	3	167	168	-1	//Blue Golem
306	33	3	222	142	-1	//Death Rider
306	33	3	230	52	-1	//Death Rider
306	33	3	188	98	-1	//Death Rider
306	33	3	211	120	-1	//Death Rider
306	33	3	238	95	-1	//Death Rider
end
