//Generated by MU.ToolKit coded by TopReal.IT

// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// =========== MapID: 7
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

0
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
end

2
// ==========================================================================================================================================================================================================================================
//Mob	Map	Dis	X	Y	Dir	Name
// ==========================================================================================================================================================================================================================================
51	7	3	212	190	-1	//Great Bahamut
51	7	3	231	206	-1	//Great Bahamut
51	7	3	157	119	-1	//Great Bahamut
51	7	3	201	104	-1	//Great Bahamut
51	7	3	228	157	-1	//Great Bahamut
48	7	3	131	68	-1	//Lizard King
48	7	3	171	62	-1	//Lizard King
51	7	3	227	128	-1	//Great Bahamut
48	7	3	103	107	-1	//Lizard King
52	7	3	104	215	-1	//Silver Valkyrie
52	7	3	143	206	-1	//Silver Valkyrie
49	7	3	37	221	-1	//Hydra
52	7	3	65	224	-1	//Silver Valkyrie
52	7	3	169	145	-1	//Silver Valkyrie
52	7	3	80	144	-1	//Silver Valkyrie
51	7	3	121	136	-1	//Great Bahamut
52	7	3	97	184	-1	//Silver Valkyrie
52	7	3	32	169	-1	//Silver Valkyrie
48	7	3	199	51	-1	//Lizard King
46	7	3	67	56	-1	//Vepar
46	7	3	81	20	-1	//Vepar
46	7	3	21	123	-1	//Vepar
46	7	3	89	34	-1	//Vepar
45	7	3	63	15	-1	//Bahamut
45	7	3	26	70	-1	//Bahamut
45	7	3	21	44	-1	//Bahamut
45	7	3	42	11	-1	//Bahamut
45	7	3	48	68	-1	//Bahamut
47	7	3	183	19	-1	//Valkyrie
47	7	3	145	16	-1	//Valkyrie
47	7	3	227	84	-1	//Valkyrie
47	7	3	241	13	-1	//Valkyrie
46	7	3	107	15	-1	//Vepar
46	7	3	49	97	-1	//Vepar
46	7	3	21	98	-1	//Vepar
46	7	3	113	41	-1	//Vepar
46	7	3	90	65	-1	//Vepar
end
